OMNIvalue,k
206,76.39
309,78.5
205,81.89
187,79.23
126,72.4
86,81.55
126,83.06
243,71.45
240,77.05
179,76.05
72,77.42
75,81.38
94,72.71
95,75.12
258,71.2
370,75.98
122,75.07
108,75.86
74,79.26
75,76.74
93,80.91
174,69.43
236,76.06
199,74.08
117,76.05
70,81.66
108,71.57
94,73.75
57,72.55
95,74.28
165,74.41
249,75.3
390,73.38
428,76.46
248,72.89
106,74.92
111,75.21
58,75.99
32,75.88
68,73.69
113,76.29
46,78.13
59,73.97
69,78.45
65,80.27
36,81.58
45,77.3
41,83.78
45,75.63
70,75.36
287,72.08
302,76.25
111,73.27
49,72.19
81,73.54
106,71.8
54,74.85
40,70.8
30,73.15
24,78.92
30,74.77
47,71.92
79,74.82
87,76.54
49,77.34
32,75.2
39,77.73
44,76.02
106,72.27
257,73.4
451,75.11
166,74.78
63,74.97
27,76.11
27,77.85
24,81.39
28,71.2
55,80.3
160,69.51
320,73.25
178,76.87
241,86.06
297,78.55
418,74.64
360,77.52
279,74.73
310,81.06
415,76.6
238,73.88
252,74.36
499,71.61
433,74.01
380,74.23
567,72.58
438,74.66
200,79.34
181,76.4
415,79.33
413,71.49
275,77.59
481,75.86
709,81.36
487,82.15
403,74.24
433,75.82
677,77.64
1002,71.68
786,78.59
487,77.35
880,77.53
460,77.76
205,74.74
288,77.48
627,71.61
672,75.91
306,75.85
256,79.4
268,79.13
268,71.34
179,76.27
225,86.73
54,83.89
66,86.66
214,79.8
536,71.48
748,77.81
642,74.45
474,68.27
539,77.63
509,77.47
574,72.96
769,74.59
746,72.65
416,75.3
70,78.89
45,74.5
54,76.0
64,72.33
411,73.73
156,78.19
62,81.3
32,77.07
44,73.33
43,84.16
40,76.81
36,83.31
32,77.1
27,75.5
30,85.7
29,82.0
32,80.53
31,80.93
30,80.29
26,76.27
24,73.95
24,74.85
24,70.7
27,74.16
26,75.25
22,76.47
18,74.81
14,77.73
10,80.22
13,76.72
16,82.08
17,72.67
30,83.35
36,82.68
49,75.14
229,73.77
576,79.32
530,74.31
412,74.87
443,79.72
727,73.75
929,74.28
863,72.83
588,69.32
281,73.9
363,70.12
178,75.89
61,80.88
130,76.4
137,77.47
298,70.04
243,75.82
148,81.35
147,74.58
177,80.4
204,70.54
399,76.34
379,80.12
262,78.93
326,82.1
275,74.73
584,70.21
1241,74.3
239,74.74
139,73.48
204,73.53
298,79.41
258,73.68
392,69.42
315,81.4
234,72.81
324,75.41
223,74.88
131,79.86
71,89.22
158,74.6
251,81.83
316,71.31
414,72.33
214,78.26
308,68.7
821,74.12
653,79.15
430,74.03
384,74.5
328,75.64
309,75.03
478,74.74
435,75.26
425,79.73
247,78.18
230,75.94
289,83.58
367,78.05
288,77.93
203,78.7
169,78.16
129,81.62
130,71.06
295,73.32
440,75.56
307,80.3
356,77.14
468,74.79
299,71.66
412,74.97
449,74.74
539,74.8
623,74.23
730,72.63
543,78.49
360,76.82
466,76.47
430,73.43
210,78.4
132,79.96
202,71.81
200,80.02
323,81.65
489,79.35
399,81.55
180,80.35
139,80.07
332,77.53
206,73.04
174,70.38
345,74.34
220,72.28
130,73.64
47,75.67
145,67.85
524,72.68
419,80.52
278,76.11
338,72.05
307,77.63
119,75.12
58,79.77
78,70.73
67,74.27
58,74.14
110,77.93
50,70.3
28,73.59
51,72.45
42,73.17
84,75.74
89,71.32
75,72.77
88,72.29
31,72.58
43,75.06
90,75.51
234,73.64
93,75.18
106,77.92
113,74.07
32,76.19
30,80.86
35,72.23
64,70.73
71,70.08
96,74.57
323,72.0
77,75.74
45,73.56
175,73.06
179,75.63
52,74.53
61,74.74
71,75.81
64,71.14
82,75.95
58,71.98
40,77.06
32,72.48
20,72.75
20,79.92
22,80.27
24,84.51
25,73.77
33,82.13
34,72.59
43,79.76
45,73.76
260,71.81
510,72.89
98,71.34
268,75.21
89,74.94
60,74.61
91,68.14
232,74.67
199,77.35
150,76.74
131,76.02
102,80.77
43,77.35
22,75.74
25,73.59
35,81.39
25,78.97
24,71.11
39,74.21
31,72.88
36,72.09
61,76.01
139,73.58
29,75.94
21,76.4
73,70.47
73,72.29
37,75.97
20,81.94
20,76.71
41,72.49
66,74.43
78,72.17
67,73.12
48,75.14
57,69.82
82,71.92
170,76.88
102,73.77
54,73.18
59,74.69
96,73.74
167,74.51
120,76.27
89,74.09
119,75.58
74,81.22
50,72.15
105,70.45
289,81.45
227,71.37
492,78.19
665,76.5
241,76.52
287,75.12
524,74.72
361,71.78
531,74.5
135,74.2
84,68.27
167,74.95
125,71.44
77,75.82
172,77.49
244,80.42
199,74.1
175,70.86
295,78.54
363,71.8
223,75.63
225,70.87
200,74.85
73,74.2
100,73.43
188,77.5
273,71.75
436,74.58
355,73.95
175,73.35
135,73.6
78,74.65
227,71.68
409,71.56
306,73.49
165,74.62
93,75.67
67,75.29
53,71.13
26,77.59
25,87.13
29,83.87
34,84.36
47,82.64
38,83.88
48,84.15
146,69.87
717,72.43
954,73.46
612,73.49
257,69.14
658,74.47
548,73.87
326,74.98
356,71.39
557,74.58
424,71.55
212,75.78
265,75.46
503,71.83
209,75.93
193,78.65
184,73.37
130,71.06
151,81.3
205,72.61
233,76.78
195,83.52
142,68.27
477,76.14
266,73.16
360,75.44
522,74.37
224,69.2
137,74.02
133,76.91
248,74.95
328,75.14
120,74.75
111,74.18
156,75.24
130,77.59
67,82.23
117,73.39
256,78.1
38,75.79
93,80.78
132,79.18
139,77.49
124,79.75
108,70.67
122,79.81
148,70.71
153,73.54
325,71.68
611,71.59
545,71.78
617,74.75
759,73.02
428,74.22
377,70.06
151,81.1
223,71.14
131,75.08
97,78.66
98,84.21
96,83.16
78,76.47
195,71.07
183,73.71
167,77.87
207,71.18
405,74.26
521,75.63
581,73.09
415,69.17
291,78.25
208,76.59
271,76.75
179,74.5
191,75.36
86,81.68
95,72.44
140,75.58
226,75.98
311,69.97
225,77.65
191,77.3
275,80.16
456,67.14
349,79.45
131,74.75
68,74.33
72,74.08
212,73.96
140,74.76
129,74.88
173,73.6
89,75.62
339,73.48
90,76.36
90,76.17
372,69.7
382,76.02
337,75.08
205,72.8
177,77.17
201,74.75
390,75.51
223,72.46
114,72.63
74,72.67
105,71.71
142,74.94
108,75.7
76,74.82
85,72.27
102,75.36
113,75.3
149,79.57
77,78.17
117,79.52
270,72.03
148,77.35
200,77.28
612,74.57
415,74.41
503,78.05
815,78.9
990,79.17
960,74.91
418,75.58
379,73.77
930,74.79
955,74.1
102,68.15
111,73.65
376,74.91
296,76.41
153,74.27
138,74.24
279,71.23
445,78.85
337,75.14
323,76.14
412,71.44
357,76.99
652,67.57
548,76.12
370,79.46
293,71.77
406,67.91
959,69.74
576,67.14
553,70.91
422,75.77
318,75.71
479,69.27
363,79.51
351,71.47
781,71.85
734,75.25
615,74.81
676,74.32
545,75.29
625,80.92
739,74.94
471,72.9
494,73.78
349,74.39
572,74.15
732,73.05
373,76.39
226,72.64
235,72.18
753,72.49
793,76.83
287,79.25
333,75.87
319,72.78
303,72.94
178,75.81
385,75.89
103,82.51
370,86.56
454,77.71
230,71.1
129,78.76
132,84.53
384,72.48
274,69.34
559,74.16
642,78.3
194,70.36
125,70.01
143,72.66
85,65.91
225,74.37
104,69.75
69,74.47
89,78.27
120,75.2
102,76.62
152,68.17
233,80.97
238,73.01
214,74.05
167,83.9
349,71.64
461,76.07
335,73.92
384,74.27
392,72.8
237,68.9
186,76.32
898,76.96
624,76.41
516,65.06
398,74.95
273,71.87
373,67.49
267,69.6
286,70.3
291,75.76
605,72.05
408,72.78
362,69.01
330,68.8
613,78.26
892,73.83
843,71.87
287,83.67
225,64.24
421,80.66
315,67.82
214,72.59
287,64.1
188,79.28
259,71.19
310,72.86
372,74.3
612,75.12
286,75.37
500,77.62
436,83.1
583,69.02
218,89.82
243,67.38
378,64.91
